district;businessName;reviewCount;primaryType;matchedTerms;phone;formattedAddress;googleMapsUri;businessStatus;googlePlaceId;fetchedAt
10. Favoriten;Volkspark - Entenpark;571;park;erholungszentrum;01 40008042;"Medeagasse 1100, 1100 Wien";https://maps.google.com/?cid=8174093552270646857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ_6FWhZqpbUcRSR7nD8c2cHE;2026-05-21T13:25:21.155314Z
10. Favoriten;Wienerberg Teich-Ufer;175;park;erholungszentrum;;"Wienerbergteich Bh, Unnamed Road, 1100 Wien";https://maps.google.com/?cid=3792650393708110600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJmb73MsCpbUcRCKM3UnAzojQ;2026-05-21T13:25:21.155327Z
10. Favoriten;Diamond Sun & Beauty Lounge;133;tanning_studio;beauty salon;0676 5367560;"Troststraße 58, Lokal 1, 1100 Wien";https://maps.google.com/?cid=1267465212391213955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ17Ck3bepbUcRg0u-NeXwlhE;2026-05-21T13:25:21.155342Z
10. Favoriten;Sozy Beauty;29;beauty_salon;beauty salon;0681 20283414;"Columbusgasse 80, 1100 Wien";https://maps.google.com/?cid=17834454694286060124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJV4asiZKpbUcRXOq3rw22gPc;2026-05-21T13:25:21.155355Z
10. Favoriten;Abnehmen im Liegen - Wien Favoriten;17;spa;"spa, wellness center, fitness studio";0676 6619529;"Jagdgasse 27, 1100 Wien";https://maps.google.com/?cid=11224812281663112428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJKR_ab3-pbUcR7MT4bkyLxps;2026-05-21T13:25:21.155369Z
10. Favoriten;Body 'N Soul;1;gym;fitness studio;;"Quellenstraße 126, 1100 Wien";https://maps.google.com/?cid=14262490143562432188&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJEVbkEsypbUcRvH6MOziL7sU;2026-05-21T13:25:21.155385Z
10. Favoriten;"Terrific Favoriten 1BR w/ Sauna, Elevator & Gym, by Blueground";0;lodging;sauna;;"1100 Wien, Österreich";https://maps.google.com/?cid=13152390083021427054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ0eOQ0NmpbUcRbtHcnRithrY;2026-05-21T13:25:21.155401Z
10. Favoriten;"Tasteful Favoriten 1BR w/ Sauna, Balcony & Co-Working, by Blueground";0;lodging;sauna;;"1100 Wien, Österreich";https://maps.google.com/?cid=14611871689556026296&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJYW-VTtGpbUcRuOOSd-LLx8o;2026-05-21T13:25:21.155396Z
11. Simmering;Herderpark;740;park;erholungszentrum;01 40008042;"Herderpark G, 1110 Wien";https://maps.google.com/?cid=7674573170020885543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ8danEPepbUcRJ6TW8aKPgWo;2026-05-21T13:25:21.155185Z
11. Simmering;Hyblerpark;557;park;erholungszentrum;;"Dopplergasse 2, 1110 Wien";https://maps.google.com/?cid=7991662032192426486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJy5xnzP2pbUcR9lHO0UYW6G4;2026-05-21T13:25:21.155196Z
